Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a1733070-046a-4506-bba6-47f32652e9d7,1979-02-20,,999-14-9549,S99994775,X74721768X,Mr.,Donte636,Elmo857,Daugherty69,,,M,white,nonhispanic,M,Berkley  Massachusetts  US,1062 Halvorson Underpass,Boston,Massachusetts,Suffolk County,25025,02124,42.354248842342805,-71.06877841138558,12223.69,173583.25,16400
f9ba83f7-9940-16ae-0854-24bd34bf1843,1971-11-23,,999-86-7840,S99961203,X51581530X,Mrs.,Ashlee14,Catrina144,Tromp100,,Larson43,D,white,nonhispanic,F,Quincy  Massachusetts  US,1019 Reilly Orchard Apt 29,Barnstable,Massachusetts,Barnstable County,25001,02673,41.70601597716205,-70.31195643376097,539230.03,737140.75,93948
fc2d1fb9-862d-a60c-581a-519f5470d866,1975-09-16,,999-93-4967,S99920007,X43158821X,Mrs.,Eartha927,Leanora120,Kulas532,,Wintheiser220,M,white,nonhispanic,F,Dedham  Massachusetts  US,810 Wiegand Boulevard Suite 78,Wakefield,Massachusetts,Middlesex County,25017,01880,42.48398517265568,-71.03446075559198,499804.16,1376278.98,77604
5a1b2463-6dbf-ff69-4ab9-fbc24841b9fd,2005-10-30,2008-03-09,999-90-2978,,,,Ariadna374,Isabel214,Fernández399,,,,asian,hispanic,F,Wesley  Saint Andrew Parish  DM,1090 Runte Dam Apt 25,Revere,Massachusetts,Suffolk County,25025,02151,42.372662380253146,-70.9543376263957,872.39,41094.85,26313
50834d5b-3074-9f8b-833e-e32a1004126d,1980-07-12,,999-14-3925,S99972845,X90441215X,Mr.,Jesse626,Brendan864,Carter549,,,M,white,nonhispanic,M,Sunderland  Massachusetts  US,421 Reilly Rest,Quincy,Massachusetts,Norfolk County,25021,02169,42.31731083626712,-71.05410990962399,72235.91,15613.10,78102
d79ef414-f638-4bb9-305f-de6093018e34,2005-10-30,,999-34-6511,S99925188,X34855095X,Ms.,Elsa29,Magdalena964,Gaitán874,,,,asian,hispanic,F,Salisbury  Saint Joseph Parish  DM,365 Weimann Ferry Apt 13,Revere,Massachusetts,Suffolk County,25025,02151,42.41411290246571,-71.00355880539564,94448.96,116297.86,26313
531968a3-50fe-09ba-d7cc-ca438ebf9d69,1974-10-18,,999-77-8935,S99911773,X35612348X,Mr.,Rogelio17,Erik495,Hartmann983,,,M,white,nonhispanic,M,Northfield  Massachusetts  US,566 Ryan Club Apt 8,Rockland,Massachusetts,Plymouth County,,00000,42.12200878953358,-70.89736701874858,121136.61,77351.62,28562
44200e4c-f1b5-deee-17f0-226f21ff1c89,2003-04-15,,999-63-6995,S99999110,X18025496X,Mr.,Drew592,Jimmy858,Volkman526,,,,asian,nonhispanic,M,Lowell  Massachusetts  US,438 Raynor Ferry Suite 49,Boston,Massachusetts,Suffolk County,25017,02467,42.28104205755397,-71.11232264395007,56264.99,4054.97,87830
d20a36fc-23ba-8462-bf39-864000fbf25f,1959-07-09,,999-50-5293,S99965454,X66993663X,Mr.,Terry864,Kent912,Glover433,,,M,white,nonhispanic,M,Merrimac  Massachusetts  US,117 Larson Crossing Apt 17,Belmont,Massachusetts,Middlesex County,25017,02478,42.403154178130606,-71.17430354647388,431941.68,431100.08,51369
80c747ab-dc05-2bca-dafa-e2aa58619442,1969-11-18,,999-39-9010,S99928748,X35983362X,Mr.,Mitchel812,,Herman763,,,M,white,nonhispanic,M,Lawrence  Massachusetts  US,640 McCullough Ferry,Concord,Massachusetts,Middlesex County,,00000,42.47662741020644,-71.39162799084917,166147.52,47896.87,156655
a00b5c95-fed5-f472-749b-6b3140ead250,2006-04-22,,999-80-8056,S99979529,X31826082X,Mr.,Toby274,Gabriel934,Borer986,,,,white,nonhispanic,M,Amherst  Massachusetts  US,590 Mayert Quay Unit 26,North Andover,Massachusetts,Essex County,,00000,42.656727662879035,-71.06356982114485,72271.68,158352.78,73834
8492edd4-143b-a863-63b3-30de357a6f94,2010-07-08,,999-69-1757,S99963214,,,Dee580,Ollie731,Satterfield305,,,,white,nonhispanic,M,Southborough  Massachusetts  US,556 Hessel Harbor Suite 2,Boston,Massachusetts,Suffolk County,25025,02128,42.34662669358342,-71.07823796400677,2873.75,48234.58,17286
a85e45e4-9090-0a5e-d395-0cc3adc7e2dd,1977-09-15,,999-14-1351,S99966058,X72287784X,Mr.,Delmar187,Burt293,Lebsack687,,,M,white,nonhispanic,M,Lexington  Massachusetts  US,568 Carroll Arcade,Lexington,Massachusetts,Middlesex County,25017,02421,42.47284093201636,-71.22928571497833,83458.30,96737.74,844493
8dc1eb80-5a2e-3f58-a3ac-4eba98ab5f41,2025-02-03,,999-22-7385,,,,Nenita289,Darlene91,Stroman228,,,,white,nonhispanic,F,Beverly  Massachusetts  US,301 Bogisich Route Unit 4,Cambridge,Massachusetts,Middlesex County,25017,02138,42.34682120251019,-71.13599973149039,5381.99,0.00,148585
7ad140ab-bfae-c3ae-20a3-2244b1c4d0e2,1954-04-26,2024-04-06,999-45-5584,S99953961,X81925810X,Ms.,Guadalupe206,,Valencia279,,,S,black,hispanic,F,Panama City  Panama  PA,861 Shields Throughway Apt 98,Boston,Massachusetts,Suffolk County,25025,02136,42.385695059758405,-71.05232089412257,60536.96,1319993.71,8437
2cf6b168-ba3b-b2a3-9a95-7217a1de6911,1986-05-14,,999-50-5748,S99933363,X99450293X,Mrs.,Liana375,Alyse240,Volkman526,,Prosacco716,M,white,nonhispanic,F,Braga  Minho  PT,365 Jacobs Forge Unit 24,Lynnfield,Massachusetts,Essex County,25009,01940,42.52839097066913,-71.03478992231926,636599.94,261934.31,90714
ba6ea998-e7a3-d122-0e14-eace53094044,1975-12-01,,999-66-6543,S99914119,X09450602X,Mr.,Donovan745,Jamel269,Yost751,,,M,white,nonhispanic,M,Southbridge  Massachusetts  US,1040 Kassulke Trace Suite 95,Great Barrington,Massachusetts,Berkshire County,25003,01230,42.20423798597081,-73.35543580884355,13109.74,173649.54,18535
a8286256-4ef3-c614-4371-085d7c8cfcb2,1979-01-23,,999-46-2191,S99923600,X99372395X,Mrs.,Gertrudis163,Tasia358,Paucek755,,Ondricka197,M,white,nonhispanic,F,Hanover  Massachusetts  US,617 Quigley Union,West Springfield,Massachusetts,Hampden County,25013,01089,42.15281704623707,-72.64796863093912,432370.95,145360.61,117313
f691e124-1107-034e-0ebf-57a58745c7de,2021-02-12,,999-30-3628,,,,Precious140,Amee396,Johns824,,,,white,nonhispanic,F,Bliss Corner  Massachusetts  US,170 Crona Meadow,Boston,Massachusetts,Suffolk County,25025,02116,42.367119706719464,-71.01775682582567,12570.37,0.00,92604
688c8453-ba6f-7dec-03c3-eaa27d6df1a4,1959-02-13,2019-07-20,999-10-7608,S99947865,X39457249X,Mr.,Gary33,Rey54,Botsford977,,,D,other,nonhispanic,M,Malden  Massachusetts  US,907 Gulgowski Gate Apt 23,Quincy,Massachusetts,Norfolk County,25021,02170,42.297142277746225,-71.02618112499087,100102.15,752210.88,68063
8a2af5b4-6f29-27d4-b5fd-bb687fa2169b,1982-05-19,,999-83-4812,S99973845,X58341319X,Mrs.,Caryn49,Gwen761,Greenholt190,,Schmeler639,M,asian,nonhispanic,F,Shanghai  Shanghai Municipality  CN,469 Schiller Key Suite 5,Northampton,Massachusetts,Hampshire County,25015,01063,42.34769533124557,-72.75542224655364,219253.26,174657.52,37389
a172af40-3eeb-e33a-f4eb-bcf071ed5299,1993-05-18,,999-11-4138,S99967659,X13329598X,Mr.,Rodrigo242,Pete38,Hahn503,,,M,white,nonhispanic,M,Adams  Massachusetts  US,373 O'Kon Rest,Sutton,Massachusetts,Worcester County,,00000,42.10574326467438,-71.70734417364883,68953.89,10052.52,66247
93904045-6509-c7c6-9b28-aff82a8e7181,1959-02-13,,999-68-2149,S99942188,X68185492X,Mr.,Damion480,Cyrus914,Green467,,,M,other,nonhispanic,M,New Bedford  Massachusetts  US,974 Shanahan Village,Quincy,Massachusetts,Norfolk County,25021,02186,42.27001201710586,-70.99165618798384,164966.92,130642.88,68063
139cd667-593c-c80f-ece7-7561016c43db,2024-11-11,,999-34-4825,,,,Bethann490,,McClure239,,,,white,nonhispanic,F,Holbrook  Massachusetts  US,502 Johnson Camp Suite 56,Norwood,Massachusetts,Norfolk County,25021,02090,42.16968986965115,-71.25389880057027,3597.57,2726.26,154367
345e08f8-968e-912d-5127-3bdea2ba7b9f,1966-08-15,,999-58-4194,S99980323,X19664375X,Mrs.,Khadijah960,Ayanna800,Welch179,,Parker433,M,white,nonhispanic,F,Falmouth  Massachusetts  US,964 Conroy Tunnel,Cambridge,Massachusetts,Middlesex County,25017,02138,42.34371401622498,-71.15902305885682,472373.86,131844.09,70447
d356a6f2-9dd4-c69f-8792-5c0061b52755,1997-05-06,,999-56-8095,S99916822,X72559498X,Ms.,Dagmar148,Dusty207,Corwin846,,,S,white,hispanic,F,Boston  Massachusetts  US,429 Connelly Union,Chelsea,Massachusetts,Suffolk County,25025,02150,42.40188184909472,-71.02744126839303,9758.15,557549.90,10511
