Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
5a26622e-a116-3ad0-9175-53a9b54ea558,74ab949d-17ac-3309-83a0-13b4405c66aa,Gabriel934 Reilly981,F,GENERAL PRACTICE,881 Main Street,Fitchburg,MA,01420,42.586487,-71.80521,125,0
0cb55105-b752-3f2d-aee8-6363e562091a,17a4bae5-8b64-34d7-8144-b428be027bd0,Lindsay928 Ward668,M,GENERAL PRACTICE,512 MAIN STREET  SUITE 211,SHREWSBURY,MA,015456406,42.295109499999995,-71.71808471110307,5,0
dcf488b6-def4-3dfe-b0cc-e6209fa474f8,e09d4c49-c2ef-3b0f-9a46-3719d9219306,Ronald408 Emard19,F,GENERAL PRACTICE,60 HOSPITAL RD,LEOMINSTER,MA,014533290,42.54031915,-71.76312990486304,83,0
03cef1fd-0893-36cf-b2dd-1afc00a66a88,ae88fd02-4911-3625-9e97-85b626ed3b0b,Cherrie404 Farrell962,F,GENERAL PRACTICE,476 VARNUM AVE,LOWELL,MA,018542122,42.6443795,-71.34721987550876,1,0
a0aa193d-bbc6-3046-9a66-982a18a4c8a6,ab701a70-a658-340e-8f69-ee196a7d40c6,Bud153 Parisian75,M,GENERAL PRACTICE,484 RTE 134,WORCESTER,MA,016071728,42.2625621,-71.8018877,18,0
5f9808b7-f549-3b4d-bfe0-a5e1e6b08350,11ba6a26-59b4-3728-a268-6dc9929962b4,Archie818 McCullough561,M,GENERAL PRACTICE,200 GOVERNORS AVENUE,MEDFORD,MA,021551644,42.42711615,-71.1121606632448,6,0
c109ab01-5066-3df6-8620-63605e043c5f,8a2e2731-3240-39d1-b4f0-cad14200937d,Randa356 Ritchie586,F,GENERAL PRACTICE,88 WASHINGTON ST,TAUNTON,MA,027802465,41.9062805,-71.09518121351795,73,0
67e62106-5955-31b7-815c-588346971f08,88e28a1c-aad9-36d0-832b-b579ecb95c3d,Cherish740 Toy286,F,GENERAL PRACTICE,14 MANNING AVENUE,LEOMINSTER,MA,014535768,42.5253035,-71.7584413,43,0
37284e65-fe8b-33b9-9019-b3ac5ae9ded4,1311c44a-85cb-3aea-a143-e5d7892ced8b,Kathrine376 Reinger292,F,GENERAL PRACTICE,300 KENSINGTON AVE,SPRINGFIELD,MA,011071139,42.091896,-72.559437,13,0
bc72cd0f-5819-36a6-a431-47b9b9e444a0,667b46fe-0afa-3f70-a311-bbe3d52db050,Maricarmen445 Caballero789,F,GENERAL PRACTICE,757 BOSTON POST RD,WORCESTER,MA,016071728,42.231371,-72.165386,1,0
